klant_id,naam,is_bedrijf,straat,postcode,plaats,email,telefoon,btw_nummer,betaaltermijn_dagen,is_dubieus
1,Blokland Groep B.V.,True,Kayhof 90,8863LR,Aalden,jetvan-breugel@example.com,0235-116155,NL43321819B60,45,False
2,Stichting van Laar V.O.F.,True,Indyhof 131,3475 XW,Hernen,jinthe19@example.net,+31(0)83 2764835,NL81618495B93,14,False
3,Florian Bos,False,Marijnboulevard 95,3767QI,Kapel-Avezaath,leah96@example.net,+31(0)532-871012,,14,False
4,van Brenen & Demmendaal B.V.,True,Finnlaan 2,3048 GG,Luxwoude,jande-bont@example.org,0957 015430,NL66978480B18,14,False
5,Engels & Frankhuizen V.O.F.,True,Sofiasteeg 346,2787 PO,Borger,aron98@example.org,(001) 0310518,NL71822782B48,14,True
6,Schipper & van Salmen ,True,Inayaring 667,6106ZG,Katwoude,jonathanvan-der-linden@example.com,+31(0)624 731781,NL38299737B63,60,False
7,van der Plas BV Stichting,True,Sanderlaan 4,4872 SN,Bleskensgraaf ca,timmermansbrian@example.org,(088)-2081219,NL13267736B02,45,False
8,Nout Ouwerkerk,False,Suzestraat 99,9916UQ,Helden,leon46@example.org,075-1079911,,14,False
9,Luca Rousselet-Huisman,False,Nynkehof 427,9980 TQ,Den Ham,maartenhekker@example.org,+31(0)449 353487,,30,False
10,Suze Cant,False,Melissalaan 0,8242 JT,Rucphen,heerkensdamian@example.net,+31(0)805 982620,,45,False
11,Koninklijke Briere V.O.F.,True,Oliviaring 2,3634 YS,Diepenveen,ebrese@example.org,(0754) 330365,NL53315869B23,45,False
12,Stichting Schokman N.V.,True,Feddestraat 5,2698 YK,Harlingen,bilal60@example.net,(0561) 595148,NL58685014B29,14,True
13,Royal le Matelot Eenmanszaak,True,Ceylinbaan 436,4777 GE,Goingarijp,schuylenborchanna@example.net,+31134-332003,NL56482366B29,45,False
14,Loïs Duivenvoorden-van Hulten,False,Juliering 6,7201OL,Volkel,jcadefau@example.org,+3172 7889579,,60,False
15,General Motors Nederland N.V.,True,Tijnboulevard 434,3581 JO,Ossenzijl,joliemiltenburg@example.org,+31(0)65-8760366,NL87277434B87,14,False
16,de Gruil NV ,True,Tiessingel 6,3627 NI,Arriën,fboddaugh@example.net,+31(0)27-2046537,NL05466889B37,45,False
17,Koninklijke de Grote ,True,Lilybaan 30,2327KN,Stad aan 't Haringvliet,lisanne52@example.net,+3124 1904966,NL46417080B53,14,False
18,Elberts & Peters V.O.F.,True,Aliring 1,7572 LU,Vries,fatima87@example.com,+31(0)94-5314737,NL14919058B65,45,False
19,Inaya Boers,False,Joepsingel 54,9494 AH,Hartwerd,peronnejuliette@example.com,(083)-7770143,,30,False
20,Mia Peterse,False,Wesselsteeg 56,5574 QO,Dronten,mohammedhenric-van-den-nuwenhuse@example.net,+31(0)33 7498941,,60,False
21,Spies & Noordijk ,True,Floorsingel 0,6777 LD,Kilder,eheijmans@example.com,(019)-0229413,NL52408240B08,45,False
22,van Beek Groep Eenmanszaak,True,Evieboulevard 34,9232EK,'s-Heerenbroek,svan-hamaland@example.net,(040)-3447134,NL99386774B96,30,False
23,Jurre Heinrichs-van der Smeede,False,Saarlaan 10,5499CH,Steenwijk,jill64@example.net,(071)-9065940,,14,True
24,Oennen Groep V.O.F.,True,Elizaring 717,2655 KV,Reitsum,qsire@example.com,071 5451680,NL99049027B87,30,False
25,Dirk N.V.,True,Tijmensingel 0,1248JA,De Kiel,milaheijman@example.com,+3127 4846773,NL03859770B34,45,False
26,Lisanne Jekel-de Hoog,False,Nisaboulevard 658,8044 JC,Werkendam,vweerdenburg@example.net,+31(0)753-396360,,30,False
27,Ninthe van Noort,False,Irisweg 70,2895CG,Waarland,ubeekman@example.org,+31(0)21-7459615,,14,False
28,Adecco B.V.,True,Timdreef 400,6045 BJ,Kaard,klamore@example.org,+31969 379237,NL78091343B16,45,False
29,Koninklijke Reimes B.V.,True,Tycholaan 67,6369KS,Losser,de-ruitermart@example.org,097 4395339,NL07482175B94,30,False
30,Melissa Jacobi,False,Milansingel 9,6214 VA,Grijpskerke,hiddevan-der-meer@example.com,0247-451712,,45,False
31,de Swart & Zaal N.V.,True,Feddeweg 70,8931 ST,Radio Kootwijk,jansebjorn@example.org,071-1382675,NL16048175B49,60,False
32,Loes Kerkhof,False,Merlesingel 64,8537PX,Dedemsvaart,catharina50@example.com,0317-139005,,60,False
33,Hollander & Mathurin V.O.F.,True,Hendriksteeg 210,6053BL,Kring van Dorth,hondeveldlara@example.com,+3117 7589178,NL18393352B90,30,False
